manudur,rikisfang,atvinnugrein,fjoldi
2009-07,Allir,Landbúnaður og skógrækt,111
2009-08,Allir,Landbúnaður og skógrækt,104
2009-09,Allir,Landbúnaður og skógrækt,101
2009-10,Allir,Landbúnaður og skógrækt,118
2009-11,Allir,Landbúnaður og skógrækt,143
2009-12,Allir,Landbúnaður og skógrækt,153
2010-01,Allir,Landbúnaður og skógrækt,171
2010-02,Allir,Landbúnaður og skógrækt,167
2010-03,Allir,Landbúnaður og skógrækt,163
2010-04,Allir,Landbúnaður og skógrækt,159
2010-05,Allir,Landbúnaður og skógrækt,135
2010-06,Allir,Landbúnaður og skógrækt,125
2010-07,Allir,Landbúnaður og skógrækt,127
2010-08,Allir,Landbúnaður og skógrækt,131
2010-09,Allir,Landbúnaður og skógrækt,126
2010-10,Allir,Landbúnaður og skógrækt,134
2010-11,Allir,Landbúnaður og skógrækt,139
2010-12,Allir,Landbúnaður og skógrækt,147
2011-01,Allir,Landbúnaður og skógrækt,149
2011-02,Allir,Landbúnaður og skógrækt,145
2011-03,Allir,Landbúnaður og skógrækt,153
2011-04,Allir,Landbúnaður og skógrækt,141
2011-05,Allir,Landbúnaður og skógrækt,124
2011-06,Allir,Landbúnaður og skógrækt,118
2011-07,Allir,Landbúnaður og skógrækt,112
2011-08,Allir,Landbúnaður og skógrækt,120
2011-09,Allir,Landbúnaður og skógrækt,112
2011-10,Allir,Landbúnaður og skógrækt,121
2011-11,Allir,Landbúnaður og skógrækt,118
2011-12,Allir,Landbúnaður og skógrækt,128
2012-01,Allir,Landbúnaður og skógrækt,138
2012-02,Allir,Landbúnaður og skógrækt,147
2012-03,Allir,Landbúnaður og skógrækt,143
2012-04,Allir,Landbúnaður og skógrækt,131
2012-05,Allir,Landbúnaður og skógrækt,112
2012-06,Allir,Landbúnaður og skógrækt,93
2012-07,Allir,Landbúnaður og skógrækt,88
2012-08,Allir,Landbúnaður og skógrækt,96
2012-09,Allir,Landbúnaður og skógrækt,93
2012-10,Allir,Landbúnaður og skógrækt,92
2012-11,Allir,Landbúnaður og skógrækt,104
2012-12,Allir,Landbúnaður og skógrækt,111
2013-01,Allir,Landbúnaður og skógrækt,111
2013-02,Allir,Landbúnaður og skógrækt,120
2013-03,Allir,Landbúnaður og skógrækt,110
2013-04,Allir,Landbúnaður og skógrækt,96
2013-05,Allir,Landbúnaður og skógrækt,84
2013-06,Allir,Landbúnaður og skógrækt,71
2013-07,Allir,Landbúnaður og skógrækt,65
2013-08,Allir,Landbúnaður og skógrækt,66
2013-09,Allir,Landbúnaður og skógrækt,66
2013-10,Allir,Landbúnaður og skógrækt,80
2013-11,Allir,Landbúnaður og skógrækt,79
2013-12,Allir,Landbúnaður og skógrækt,86
2014-01,Allir,Landbúnaður og skógrækt,96
2014-02,Allir,Landbúnaður og skógrækt,93
2014-03,Allir,Landbúnaður og skógrækt,97
2014-04,Allir,Landbúnaður og skógrækt,94
2014-05,Allir,Landbúnaður og skógrækt,79
2014-06,Allir,Landbúnaður og skógrækt,73
2014-07,Allir,Landbúnaður og skógrækt,64
2014-08,Allir,Landbúnaður og skógrækt,68
2014-09,Allir,Landbúnaður og skógrækt,65
2014-10,Allir,Landbúnaður og skógrækt,63
2014-11,Allir,Landbúnaður og skógrækt,72
2014-12,Allir,Landbúnaður og skógrækt,81
2015-01,Allir,Landbúnaður og skógrækt,88
2015-02,Allir,Landbúnaður og skógrækt,87
2015-03,Allir,Landbúnaður og skógrækt,78
2015-04,Allir,Landbúnaður og skógrækt,78
2015-05,Allir,Landbúnaður og skógrækt,68
2015-06,Allir,Landbúnaður og skógrækt,51
2015-07,Allir,Landbúnaður og skógrækt,56
2015-08,Allir,Landbúnaður og skógrækt,55
2015-09,Allir,Landbúnaður og skógrækt,57
2015-10,Allir,Landbúnaður og skógrækt,49
2015-11,Allir,Landbúnaður og skógrækt,59
2015-12,Allir,Landbúnaður og skógrækt,59
2016-01,Allir,Landbúnaður og skógrækt,58
2016-02,Allir,Landbúnaður og skógrækt,61
2016-03,Allir,Landbúnaður og skógrækt,62
2016-04,Allir,Landbúnaður og skógrækt,54
2016-05,Allir,Landbúnaður og skógrækt,57
2016-06,Allir,Landbúnaður og skógrækt,51
2016-07,Allir,Landbúnaður og skógrækt,47
2016-08,Allir,Landbúnaður og skógrækt,47
2016-09,Allir,Landbúnaður og skógrækt,54
2016-10,Allir,Landbúnaður og skógrækt,44
2016-11,Allir,Landbúnaður og skógrækt,52
2016-12,Allir,Landbúnaður og skógrækt,59
2017-01,Allir,Landbúnaður og skógrækt,69
2017-02,Allir,Landbúnaður og skógrækt,68
2017-03,Allir,Landbúnaður og skógrækt,69
2017-04,Allir,Landbúnaður og skógrækt,64
2017-05,Allir,Landbúnaður og skógrækt,56
2017-06,Allir,Landbúnaður og skógrækt,46
2017-07,Allir,Landbúnaður og skógrækt,45
2017-08,Allir,Landbúnaður og skógrækt,44
2017-09,Allir,Landbúnaður og skógrækt,47
2017-10,Allir,Landbúnaður og skógrækt,54
2017-11,Allir,Landbúnaður og skógrækt,57
2017-12,Allir,Landbúnaður og skógrækt,55
2018-01,Allir,Landbúnaður og skógrækt,63
2018-02,Allir,Landbúnaður og skógrækt,55
2018-03,Allir,Landbúnaður og skógrækt,53
2018-04,Allir,Landbúnaður og skógrækt,52
2018-05,Allir,Landbúnaður og skógrækt,57
2018-06,Allir,Landbúnaður og skógrækt,49
2018-07,Allir,Landbúnaður og skógrækt,52
2018-08,Allir,Landbúnaður og skógrækt,48
2018-09,Allir,Landbúnaður og skógrækt,49
2018-10,Allir,Landbúnaður og skógrækt,42
2018-11,Allir,Landbúnaður og skógrækt,44
2018-12,Allir,Landbúnaður og skógrækt,48
2019-01,Allir,Landbúnaður og skógrækt,52
2019-02,Allir,Landbúnaður og skógrækt,54
2019-03,Allir,Landbúnaður og skógrækt,53
2019-04,Allir,Landbúnaður og skógrækt,60
2019-05,Allir,Landbúnaður og skógrækt,60
2019-06,Allir,Landbúnaður og skógrækt,52
2019-07,Allir,Landbúnaður og skógrækt,53
2019-08,Allir,Landbúnaður og skógrækt,49
2019-09,Allir,Landbúnaður og skógrækt,49
2019-10,Allir,Landbúnaður og skógrækt,50
2019-11,Allir,Landbúnaður og skógrækt,63
2019-12,Allir,Landbúnaður og skógrækt,64
2020-01,Allir,Landbúnaður og skógrækt,75
2020-02,Allir,Landbúnaður og skógrækt,88
2020-03,Allir,Landbúnaður og skógrækt,111
2020-04,Allir,Landbúnaður og skógrækt,266
2020-05,Allir,Landbúnaður og skógrækt,230
2020-06,Allir,Landbúnaður og skógrækt,157
2020-07,Allir,Landbúnaður og skógrækt,137
2020-08,Allir,Landbúnaður og skógrækt,144
2020-09,Allir,Landbúnaður og skógrækt,137
2020-10,Allir,Landbúnaður og skógrækt,165
2020-11,Allir,Landbúnaður og skógrækt,179
2020-12,Allir,Landbúnaður og skógrækt,202
2021-01,Allir,Landbúnaður og skógrækt,199
2021-02,Allir,Landbúnaður og skógrækt,191
2021-03,Allir,Landbúnaður og skógrækt,198
2021-04,Allir,Landbúnaður og skógrækt,198
2021-05,Allir,Landbúnaður og skógrækt,161
2021-06,Allir,Landbúnaður og skógrækt,105
2021-07,Allir,Landbúnaður og skógrækt,80
2021-08,Allir,Landbúnaður og skógrækt,77
2021-09,Allir,Landbúnaður og skógrækt,74
2021-10,Allir,Landbúnaður og skógrækt,80
2021-11,Allir,Landbúnaður og skógrækt,90
2021-12,Allir,Landbúnaður og skógrækt,91
2022-01,Allir,Landbúnaður og skógrækt,99
2022-02,Allir,Landbúnaður og skógrækt,91
2022-03,Allir,Landbúnaður og skógrækt,84
2022-04,Allir,Landbúnaður og skógrækt,77
2022-05,Allir,Landbúnaður og skógrækt,53
2022-06,Allir,Landbúnaður og skógrækt,58
2022-07,Allir,Landbúnaður og skógrækt,56
2022-08,Allir,Landbúnaður og skógrækt,51
2022-09,Allir,Landbúnaður og skógrækt,53
2022-10,Allir,Landbúnaður og skógrækt,50
2022-11,Allir,Landbúnaður og skógrækt,48
2022-12,Allir,Landbúnaður og skógrækt,49
2023-01,Allir,Landbúnaður og skógrækt,56
2023-02,Allir,Landbúnaður og skógrækt,55
2023-03,Allir,Landbúnaður og skógrækt,55
2023-04,Allir,Landbúnaður og skógrækt,45
2023-05,Allir,Landbúnaður og skógrækt,45
2023-06,Allir,Landbúnaður og skógrækt,43
2023-07,Allir,Landbúnaður og skógrækt,38
2023-08,Allir,Landbúnaður og skógrækt,41
2023-09,Allir,Landbúnaður og skógrækt,46
2023-10,Allir,Landbúnaður og skógrækt,58
2023-11,Allir,Landbúnaður og skógrækt,74
2023-12,Allir,Landbúnaður og skógrækt,85
2024-01,Allir,Landbúnaður og skógrækt,87
2024-02,Allir,Landbúnaður og skógrækt,85
2024-03,Allir,Landbúnaður og skógrækt,77
2024-04,Allir,Landbúnaður og skógrækt,70
2024-05,Allir,Landbúnaður og skógrækt,61
2024-06,Allir,Landbúnaður og skógrækt,63
2024-07,Allir,Landbúnaður og skógrækt,66
2024-08,Allir,Landbúnaður og skógrækt,65
2024-09,Allir,Landbúnaður og skógrækt,60
2024-10,Allir,Landbúnaður og skógrækt,62
2024-11,Allir,Landbúnaður og skógrækt,70
2024-12,Allir,Landbúnaður og skógrækt,69
2025-01,Allir,Landbúnaður og skógrækt,81
2025-02,Allir,Landbúnaður og skógrækt,84
2025-03,Allir,Landbúnaður og skógrækt,81
2025-04,Allir,Landbúnaður og skógrækt,69
2025-05,Allir,Landbúnaður og skógrækt,63
2025-06,Allir,Landbúnaður og skógrækt,61
2025-07,Allir,Landbúnaður og skógrækt,56
2025-08,Allir,Landbúnaður og skógrækt,56
2025-09,Allir,Landbúnaður og skógrækt,59
2025-10,Allir,Landbúnaður og skógrækt,65
2025-11,Allir,Landbúnaður og skógrækt,76
2025-12,Allir,Landbúnaður og skógrækt,74
2026-01,Allir,Landbúnaður og skógrækt,77
2026-02,Allir,Landbúnaður og skógrækt,80
2026-03,Allir,Landbúnaður og skógrækt,84
2000-02,Allir,"Fiskveiðar, -eldi og -vinnsla",393
2000-03,Allir,"Fiskveiðar, -eldi og -vinnsla",414
2000-04,Allir,"Fiskveiðar, -eldi og -vinnsla",369
2000-05,Allir,"Fiskveiðar, -eldi og -vinnsla",288
2000-06,Allir,"Fiskveiðar, -eldi og -vinnsla",211
2000-07,Allir,"Fiskveiðar, -eldi og -vinnsla",207
2000-08,Allir,"Fiskveiðar, -eldi og -vinnsla",181
2000-09,Allir,"Fiskveiðar, -eldi og -vinnsla",181
2000-10,Allir,"Fiskveiðar, -eldi og -vinnsla",176
2000-11,Allir,"Fiskveiðar, -eldi og -vinnsla",250
2000-12,Allir,"Fiskveiðar, -eldi og -vinnsla",515
2001-01,Allir,"Fiskveiðar, -eldi og -vinnsla",428
2001-02,Allir,"Fiskveiðar, -eldi og -vinnsla",380
2001-03,Allir,"Fiskveiðar, -eldi og -vinnsla",314
2001-04,Allir,"Fiskveiðar, -eldi og -vinnsla",725
2001-05,Allir,"Fiskveiðar, -eldi og -vinnsla",257
2001-06,Allir,"Fiskveiðar, -eldi og -vinnsla",182
2001-07,Allir,"Fiskveiðar, -eldi og -vinnsla",181
2001-08,Allir,"Fiskveiðar, -eldi og -vinnsla",166
2001-09,Allir,"Fiskveiðar, -eldi og -vinnsla",171
2001-10,Allir,"Fiskveiðar, -eldi og -vinnsla",194
2001-11,Allir,"Fiskveiðar, -eldi og -vinnsla",262
2001-12,Allir,"Fiskveiðar, -eldi og -vinnsla",398
2002-01,Allir,"Fiskveiðar, -eldi og -vinnsla",399
2002-02,Allir,"Fiskveiðar, -eldi og -vinnsla",355
2002-03,Allir,"Fiskveiðar, -eldi og -vinnsla",347
2002-04,Allir,"Fiskveiðar, -eldi og -vinnsla",399
2002-05,Allir,"Fiskveiðar, -eldi og -vinnsla",403
2002-06,Allir,"Fiskveiðar, -eldi og -vinnsla",404
2002-07,Allir,"Fiskveiðar, -eldi og -vinnsla",407
2002-08,Allir,"Fiskveiðar, -eldi og -vinnsla",384
2002-09,Allir,"Fiskveiðar, -eldi og -vinnsla",341
2002-10,Allir,"Fiskveiðar, -eldi og -vinnsla",428
2002-11,Allir,"Fiskveiðar, -eldi og -vinnsla",526
2002-12,Allir,"Fiskveiðar, -eldi og -vinnsla",672
2003-01,Allir,"Fiskveiðar, -eldi og -vinnsla",686
2003-02,Allir,"Fiskveiðar, -eldi og -vinnsla",670
2003-03,Allir,"Fiskveiðar, -eldi og -vinnsla",655
2003-04,Allir,"Fiskveiðar, -eldi og -vinnsla",626
2003-05,Allir,"Fiskveiðar, -eldi og -vinnsla",646
2003-06,Allir,"Fiskveiðar, -eldi og -vinnsla",557
2003-07,Allir,"Fiskveiðar, -eldi og -vinnsla",573
2003-08,Allir,"Fiskveiðar, -eldi og -vinnsla",512
2003-09,Allir,"Fiskveiðar, -eldi og -vinnsla",514
2003-10,Allir,"Fiskveiðar, -eldi og -vinnsla",469
2003-11,Allir,"Fiskveiðar, -eldi og -vinnsla",499
2003-12,Allir,"Fiskveiðar, -eldi og -vinnsla",633
2004-01,Allir,"Fiskveiðar, -eldi og -vinnsla",605
2004-02,Allir,"Fiskveiðar, -eldi og -vinnsla",559
2004-03,Allir,"Fiskveiðar, -eldi og -vinnsla",544
2004-04,Allir,"Fiskveiðar, -eldi og -vinnsla",535
2004-05,Allir,"Fiskveiðar, -eldi og -vinnsla",520
2004-06,Allir,"Fiskveiðar, -eldi og -vinnsla",519
2004-07,Allir,"Fiskveiðar, -eldi og -vinnsla",556
2004-08,Allir,"Fiskveiðar, -eldi og -vinnsla",443
2004-09,Allir,"Fiskveiðar, -eldi og -vinnsla",396
2004-10,Allir,"Fiskveiðar, -eldi og -vinnsla",381
2004-11,Allir,"Fiskveiðar, -eldi og -vinnsla",372
2004-12,Allir,"Fiskveiðar, -eldi og -vinnsla",525
2005-01,Allir,"Fiskveiðar, -eldi og -vinnsla",493
2005-02,Allir,"Fiskveiðar, -eldi og -vinnsla",395
2005-03,Allir,"Fiskveiðar, -eldi og -vinnsla",388
2005-04,Allir,"Fiskveiðar, -eldi og -vinnsla",357
2005-05,Allir,"Fiskveiðar, -eldi og -vinnsla",345
2005-06,Allir,"Fiskveiðar, -eldi og -vinnsla",345
2005-07,Allir,"Fiskveiðar, -eldi og -vinnsla",386
2005-08,Allir,"Fiskveiðar, -eldi og -vinnsla",309
2005-09,Allir,"Fiskveiðar, -eldi og -vinnsla",300
2005-10,Allir,"Fiskveiðar, -eldi og -vinnsla",280
2005-11,Allir,"Fiskveiðar, -eldi og -vinnsla",299
2005-12,Allir,"Fiskveiðar, -eldi og -vinnsla",321
2006-01,Allir,"Fiskveiðar, -eldi og -vinnsla",337
2006-02,Allir,"Fiskveiðar, -eldi og -vinnsla",293
2006-03,Allir,"Fiskveiðar, -eldi og -vinnsla",291
2006-04,Allir,"Fiskveiðar, -eldi og -vinnsla",287
2006-05,Allir,"Fiskveiðar, -eldi og -vinnsla",243
2006-06,Allir,"Fiskveiðar, -eldi og -vinnsla",246
2006-07,Allir,"Fiskveiðar, -eldi og -vinnsla",287
2006-08,Allir,"Fiskveiðar, -eldi og -vinnsla",230
2006-09,Allir,"Fiskveiðar, -eldi og -vinnsla",201
2006-10,Allir,"Fiskveiðar, -eldi og -vinnsla",197
2006-11,Allir,"Fiskveiðar, -eldi og -vinnsla",223
2006-12,Allir,"Fiskveiðar, -eldi og -vinnsla",247
2007-01,Allir,"Fiskveiðar, -eldi og -vinnsla",268
2007-02,Allir,"Fiskveiðar, -eldi og -vinnsla",230
2007-03,Allir,"Fiskveiðar, -eldi og -vinnsla",229
2007-04,Allir,"Fiskveiðar, -eldi og -vinnsla",224
2007-05,Allir,"Fiskveiðar, -eldi og -vinnsla",223
2007-06,Allir,"Fiskveiðar, -eldi og -vinnsla",210
2007-07,Allir,"Fiskveiðar, -eldi og -vinnsla",234
2007-08,Allir,"Fiskveiðar, -eldi og -vinnsla",216
2007-09,Allir,"Fiskveiðar, -eldi og -vinnsla",215
2007-10,Allir,"Fiskveiðar, -eldi og -vinnsla",189
2007-11,Allir,"Fiskveiðar, -eldi og -vinnsla",210
2007-12,Allir,"Fiskveiðar, -eldi og -vinnsla",244
2008-01,Allir,"Fiskveiðar, -eldi og -vinnsla",268
2008-02,Allir,"Fiskveiðar, -eldi og -vinnsla",232
2008-03,Allir,"Fiskveiðar, -eldi og -vinnsla",207
2008-04,Allir,"Fiskveiðar, -eldi og -vinnsla",227
2008-05,Allir,"Fiskveiðar, -eldi og -vinnsla",254
2008-06,Allir,"Fiskveiðar, -eldi og -vinnsla",273
2008-07,Allir,"Fiskveiðar, -eldi og -vinnsla",304
2008-08,Allir,"Fiskveiðar, -eldi og -vinnsla",288
2008-09,Allir,"Fiskveiðar, -eldi og -vinnsla",263
2008-10,Allir,"Fiskveiðar, -eldi og -vinnsla",316
2008-11,Allir,"Fiskveiðar, -eldi og -vinnsla",387
2008-12,Allir,"Fiskveiðar, -eldi og -vinnsla",473
2009-01,Allir,"Fiskveiðar, -eldi og -vinnsla",574
2009-02,Allir,"Fiskveiðar, -eldi og -vinnsla",643
2009-03,Allir,"Fiskveiðar, -eldi og -vinnsla",727
2009-04,Allir,"Fiskveiðar, -eldi og -vinnsla",723
2009-05,Allir,"Fiskveiðar, -eldi og -vinnsla",713
2009-06,Allir,"Fiskveiðar, -eldi og -vinnsla",693
2009-07,Allir,"Fiskveiðar, -eldi og -vinnsla",703
2009-08,Allir,"Fiskveiðar, -eldi og -vinnsla",669
2009-09,Allir,"Fiskveiðar, -eldi og -vinnsla",616
2009-10,Allir,"Fiskveiðar, -eldi og -vinnsla",699
2009-11,Allir,"Fiskveiðar, -eldi og -vinnsla",765
2009-12,Allir,"Fiskveiðar, -eldi og -vinnsla",811
2010-01,Allir,"Fiskveiðar, -eldi og -vinnsla",835
2010-02,Allir,"Fiskveiðar, -eldi og -vinnsla",821
2010-03,Allir,"Fiskveiðar, -eldi og -vinnsla",853
2010-04,Allir,"Fiskveiðar, -eldi og -vinnsla",883
2010-05,Allir,"Fiskveiðar, -eldi og -vinnsla",861
2010-06,Allir,"Fiskveiðar, -eldi og -vinnsla",837
2010-07,Allir,"Fiskveiðar, -eldi og -vinnsla",839
2010-08,Allir,"Fiskveiðar, -eldi og -vinnsla",780
2010-09,Allir,"Fiskveiðar, -eldi og -vinnsla",743
2010-10,Allir,"Fiskveiðar, -eldi og -vinnsla",833
2010-11,Allir,"Fiskveiðar, -eldi og -vinnsla",875
2010-12,Allir,"Fiskveiðar, -eldi og -vinnsla",951
2011-01,Allir,"Fiskveiðar, -eldi og -vinnsla",971
2011-02,Allir,"Fiskveiðar, -eldi og -vinnsla",989
2011-03,Allir,"Fiskveiðar, -eldi og -vinnsla",973
2011-04,Allir,"Fiskveiðar, -eldi og -vinnsla",913
2011-05,Allir,"Fiskveiðar, -eldi og -vinnsla",853
2011-06,Allir,"Fiskveiðar, -eldi og -vinnsla",791
2011-07,Allir,"Fiskveiðar, -eldi og -vinnsla",819
2011-08,Allir,"Fiskveiðar, -eldi og -vinnsla",748
2011-09,Allir,"Fiskveiðar, -eldi og -vinnsla",683
2011-10,Allir,"Fiskveiðar, -eldi og -vinnsla",719
2011-11,Allir,"Fiskveiðar, -eldi og -vinnsla",777
2011-12,Allir,"Fiskveiðar, -eldi og -vinnsla",843
2012-01,Allir,"Fiskveiðar, -eldi og -vinnsla",793
2012-02,Allir,"Fiskveiðar, -eldi og -vinnsla",798
2012-03,Allir,"Fiskveiðar, -eldi og -vinnsla",766
2012-04,Allir,"Fiskveiðar, -eldi og -vinnsla",753
2012-05,Allir,"Fiskveiðar, -eldi og -vinnsla",697
2012-06,Allir,"Fiskveiðar, -eldi og -vinnsla",667
2012-07,Allir,"Fiskveiðar, -eldi og -vinnsla",632
2012-08,Allir,"Fiskveiðar, -eldi og -vinnsla",606
2012-09,Allir,"Fiskveiðar, -eldi og -vinnsla",596
2012-10,Allir,"Fiskveiðar, -eldi og -vinnsla",657
2012-11,Allir,"Fiskveiðar, -eldi og -vinnsla",716
2012-12,Allir,"Fiskveiðar, -eldi og -vinnsla",863
2013-01,Allir,"Fiskveiðar, -eldi og -vinnsla",801
2013-02,Allir,"Fiskveiðar, -eldi og -vinnsla",762
2013-03,Allir,"Fiskveiðar, -eldi og -vinnsla",760
2013-04,Allir,"Fiskveiðar, -eldi og -vinnsla",726
2013-05,Allir,"Fiskveiðar, -eldi og -vinnsla",678
2013-06,Allir,"Fiskveiðar, -eldi og -vinnsla",632
2013-07,Allir,"Fiskveiðar, -eldi og -vinnsla",638
2013-08,Allir,"Fiskveiðar, -eldi og -vinnsla",576
2013-09,Allir,"Fiskveiðar, -eldi og -vinnsla",509
2013-10,Allir,"Fiskveiðar, -eldi og -vinnsla",528
2013-11,Allir,"Fiskveiðar, -eldi og -vinnsla",580
2013-12,Allir,"Fiskveiðar, -eldi og -vinnsla",667
2014-01,Allir,"Fiskveiðar, -eldi og -vinnsla",706
2014-02,Allir,"Fiskveiðar, -eldi og -vinnsla",697
2014-03,Allir,"Fiskveiðar, -eldi og -vinnsla",673
2014-04,Allir,"Fiskveiðar, -eldi og -vinnsla",673
2014-05,Allir,"Fiskveiðar, -eldi og -vinnsla",643
2014-06,Allir,"Fiskveiðar, -eldi og -vinnsla",548
2014-07,Allir,"Fiskveiðar, -eldi og -vinnsla",520
2014-08,Allir,"Fiskveiðar, -eldi og -vinnsla",489
2014-09,Allir,"Fiskveiðar, -eldi og -vinnsla",470
2014-10,Allir,"Fiskveiðar, -eldi og -vinnsla",480
2014-11,Allir,"Fiskveiðar, -eldi og -vinnsla",512
2014-12,Allir,"Fiskveiðar, -eldi og -vinnsla",553
2015-01,Allir,"Fiskveiðar, -eldi og -vinnsla",574
2015-02,Allir,"Fiskveiðar, -eldi og -vinnsla",525
2015-03,Allir,"Fiskveiðar, -eldi og -vinnsla",523
2015-04,Allir,"Fiskveiðar, -eldi og -vinnsla",514
2015-05,Allir,"Fiskveiðar, -eldi og -vinnsla",465
